id,formattedAddress,city,state,zipCode,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listingType,listedDate,daysOnMarket
"127-W-Wisconsin-Ave,-Unit-1061653P,-Neenah,-WI-54956","127 W Wisconsin Ave, Unit 1061653P, Neenah, WI 54956",Neenah,WI,54956,44.187149,-88.46244,Apartment,1,1,699,,Active,11970,Standard,2025-09-11T00:00:00.000Z,72
"1263-1265-Meadow-Ln,-Neenah,-WI-54956","1263-1265 Meadow Ln, Neenah, WI 54956",Neenah,WI,54956,44.16135,-88.490761,Multi-Family,2,1,1696,,Active,1195,Standard,2025-10-02T00:00:00.000Z,50
"120-Gruenwald-Ave,-Neenah,-WI-54956","120 Gruenwald Ave, Neenah, WI 54956",Neenah,WI,54956,44.190164,-88.48185,Apartment,2,1,,,Active,1050,Standard,2025-10-10T00:00:00.000Z,42
"1254-1256-Meadow-Ln,-Neenah,-WI-54956","1254-1256 Meadow Ln, Neenah, WI 54956",Neenah,WI,54956,44.161137,-88.490166,Multi-Family,2,1,1776,,Active,1245,Standard,2025-11-12T00:00:00.000Z,9
"3652-Interlake-Ave-N,-Apt-13,-Seattle,-WA-98103","3652 Interlake Ave N, Apt 13, Seattle, WA 98103",Seattle,WA,98103,47.652081,-122.341011,Apartment,2,2,800,,Active,2800,Standard,2025-11-22T00:00:00.000Z,1
"14040-Courtland-Pl-N,-Seattle,-WA-98133","14040 Courtland Pl N, Seattle, WA 98133",Seattle,WA,98133,47.73171,-122.337718,Single Family,4,3,1250,,Active,2900,Standard,2025-11-22T00:00:00.000Z,1
"1708B-Nw-58th-St,-Seattle,-WA-98107","1708B Nw 58th St, Seattle, WA 98107",Seattle,WA,98107,47.671143,-122.379295,Single Family,2,1,910,,Active,1850,Standard,2025-11-22T00:00:00.000Z,1
"4207-5-34th-Ave-W,-Seattle,-WA-98199","4207.5 34th Ave W, Seattle, WA 98199",Seattle,WA,98199,47.65794,-122.401176,Apartment,0,1,300,,Active,1250,Standard,2025-11-22T00:00:00.000Z,1
"1837-S-116th-St,-Seattle,-WA-98168","1837 S 116th St, Seattle, WA 98168",Seattle,WA,98168,47.499138,-122.308395,Apartment,2,1,805,,Active,1750,Standard,2025-11-22T00:00:00.000Z,1
"2014-41st-Ave-E,-Seattle,-WA-98112","2014 41st Ave E, Seattle, WA 98112",Seattle,WA,98112,47.637433,-122.279299,Single Family,2,2,1700,,Active,4200,Standard,2025-11-22T00:00:00.000Z,1
"409-10th-Ave-E,-Apt-104,-Seattle,-WA-98102","409 10th Ave E, Apt 104, Seattle, WA 98102",Seattle,WA,98102,47.622307,-122.320206,Apartment,0,1,450,,Active,1575,Standard,2025-11-22T00:00:00.000Z,1
"2107-Ne-54th-St,-Unit-A3,-Seattle,-WA-98105","2107 Ne 54th St, Unit A3, Seattle, WA 98105",Seattle,WA,98105,47.667801,-122.305077,Apartment,1,3,,,Active,690,Standard,2025-11-22T00:00:00.000Z,1
"736-Bellevue-Pl-E,-Unit-412,-Seattle,-WA-98102","736 Bellevue Pl E, Unit 412, Seattle, WA 98102",Seattle,WA,98102,47.626171,-122.327576,Apartment,0,1,348,,Active,1207,Standard,2025-11-22T00:00:00.000Z,1
"5257-Brooklyn-Ave-NE,-Unit-4,-Seattle,-WA-98105","5257 Brooklyn Ave NE, Unit 4, Seattle, WA 98105",Seattle,WA,98105,47.668125,-122.314377,Apartment,1,1,,,Active,750,Standard,2025-11-22T00:00:00.000Z,1
"1305-E-Howell-St,-Apt-303,-Seattle,-WA-98122","1305 E Howell St, Apt 303, Seattle, WA 98122",Seattle,WA,98122,47.617416,-122.315208,Apartment,0,1,454,,Active,1545,Standard,2025-11-22T00:00:00.000Z,1
"10757-Greenwood-Ave-N,-Apt-224,-Seattle,-WA-98133","10757 Greenwood Ave N, Apt 224, Seattle, WA 98133",Seattle,WA,98133,47.708473,-122.355896,Apartment,1,1,711,,Active,1545,Standard,2025-11-22T00:00:00.000Z,1
"2318-California-Ave-SW,-Apt-304,-Seattle,-WA-98116","2318 California Ave SW, Apt 304, Seattle, WA 98116",Seattle,WA,98116,47.582413,-122.386154,Apartment,1,1,550,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"1215-Seneca-St,-Apt-317,-Seattle,-WA-98101","1215 Seneca St, Apt 317, Seattle, WA 98101",Seattle,WA,98101,47.611317,-122.324409,Apartment,1,1,638,,Active,1595,Standard,2025-11-22T00:00:00.000Z,1
"13002-1st-Ave-NE,-Seattle,-WA-98125","13002 1st Ave NE, Seattle, WA 98125",Seattle,WA,98125,47.723334,-122.328551,Single Family,3,1,1080,,Active,2750,Standard,2025-11-22T00:00:00.000Z,1
"1615-15th-Ave,-Unit-42,-Seattle,-WA-98122","1615 15th Ave, Unit 42, Seattle, WA 98122",Seattle,WA,98122,47.615788,-122.313141,Apartment,1,1,520,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"2257A-Ne-53rd-St,-Unit-18,-Seattle,-WA-98105","2257A Ne 53rd St, Unit 18, Seattle, WA 98105",Seattle,WA,98105,47.666782,-122.302803,Apartment,2,1,650,,Active,1795,Standard,2025-11-22T00:00:00.000Z,1
"509-19th-Ave-E,-Apt-103,-Seattle,-WA-98112","509 19th Ave E, Apt 103, Seattle, WA 98112",Seattle,WA,98112,47.623638,-122.307655,Apartment,1,1,590,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"1615-15th-Ave,-Unit-30,-Seattle,-WA-98122","1615 15th Ave, Unit 30, Seattle, WA 98122",Seattle,WA,98122,47.615788,-122.313141,Apartment,1,1,705,,Active,1795,Standard,2025-11-22T00:00:00.000Z,1
"1615-15th-Ave,-Unit-50,-Seattle,-WA-98122","1615 15th Ave, Unit 50, Seattle, WA 98122",Seattle,WA,98122,47.615788,-122.313141,Apartment,1,1,630,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"1420-Boren-Ave,-Apt-109,-Seattle,-WA-98101","1420 Boren Ave, Apt 109, Seattle, WA 98101",Seattle,WA,98101,47.613167,-122.328217,Apartment,0,1,325,,Active,1195,Standard,2025-11-22T00:00:00.000Z,1
"151-John-St,-Apt-2D,-Seattle,-WA-98109","151 John St, Apt 2D, Seattle, WA 98109",Seattle,WA,98109,47.619587,-122.35376,Apartment,0,1,585,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"2244-13th-Ave,-Apt-106W,-Seattle,-WA-98119","2244 13th Ave, Apt 106W, Seattle, WA 98119",Seattle,WA,98119,47.639881,-122.373311,Apartment,1,1,587,,Active,1795,Standard,2025-11-22T00:00:00.000Z,1
"1305-E-Denny-Way,-Apt-100,-Seattle,-WA-98122","1305 E Denny Way, Apt 100, Seattle, WA 98122",Seattle,WA,98122,47.618626,-122.315224,Apartment,1,1,500,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"5505-15th-Ave-NE,-Apt-304,-Seattle,-WA-98105","5505 15th Ave NE, Apt 304, Seattle, WA 98105",Seattle,WA,98105,47.668701,-122.312202,Apartment,2,2,880,,Active,2095,Standard,2025-11-22T00:00:00.000Z,1
"902-Ne-43rd-St,-Seattle,-WA-98105","902 Ne 43rd St, Seattle, WA 98105",Seattle,WA,98105,47.659634,-122.318489,Apartment,1,1,737,,Active,1850,Standard,2025-11-22T00:00:00.000Z,1
"13826-Greenwood-Ave-N,-Seattle,-WA-98133","13826 Greenwood Ave N, Seattle, WA 98133",Seattle,WA,98133,47.730408,-122.355118,Apartment,1,1,574,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"1700-Taylor-Ave-N,-Seattle,-WA-98109","1700 Taylor Ave N, Seattle, WA 98109",Seattle,WA,98109,47.634358,-122.346233,Apartment,1,1,750,1960,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"4532-42nd-Ave-SW,-Unit-410,-Seattle,-WA-98116","4532 42nd Ave SW, Unit 410, Seattle, WA 98116",Seattle,WA,98116,47.561924,-122.385094,Apartment,1,1,634,,Active,1795,Standard,2025-11-22T00:00:00.000Z,1
"205-19th-Ave-E,-Apt-404,-Seattle,-WA-98112","205 19th Ave E, Apt 404, Seattle, WA 98112",Seattle,WA,98112,47.619938,-122.307648,Apartment,1,1,552,,Active,1795,Standard,2025-11-22T00:00:00.000Z,1
"949-N-80th-St,-Apt-307,-Seattle,-WA-98103","949 N 80th St, Apt 307, Seattle, WA 98103",Seattle,WA,98103,47.686768,-122.345001,Apartment,1,1,525,,Active,1595,Standard,2025-11-22T00:00:00.000Z,1
"509-19th-Ave-E,-Apt-304,-Seattle,-WA-98112","509 19th Ave E, Apt 304, Seattle, WA 98112",Seattle,WA,98112,47.623638,-122.307655,Apartment,1,1,590,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"1700-Summit-Ave,-Apt-103,-Seattle,-WA-98122","1700 Summit Ave, Apt 103, Seattle, WA 98122",Seattle,WA,98122,47.616516,-122.325241,Apartment,1,1,499,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"205-19th-Ave-E,-Apt-402,-Seattle,-WA-98112","205 19th Ave E, Apt 402, Seattle, WA 98112",Seattle,WA,98112,47.619938,-122.307648,Apartment,0,1,300,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"1305-E-Denny-Way,-Apt-107,-Seattle,-WA-98122","1305 E Denny Way, Apt 107, Seattle, WA 98122",Seattle,WA,98122,47.618626,-122.315224,Apartment,0,1,360,,Active,1195,Standard,2025-11-22T00:00:00.000Z,1
"5505-15th-Ave-NE,-Apt-302,-Seattle,-WA-98105","5505 15th Ave NE, Apt 302, Seattle, WA 98105",Seattle,WA,98105,47.668701,-122.312202,Apartment,1,1,580,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"509-19th-Ave-E,-Apt-107,-Seattle,-WA-98112","509 19th Ave E, Apt 107, Seattle, WA 98112",Seattle,WA,98112,47.623638,-122.307655,Apartment,0,1,457,,Active,1595,Standard,2025-11-22T00:00:00.000Z,1
"321-Broadway-E,-Apt-406,-Seattle,-WA-98102","321 Broadway E, Apt 406, Seattle, WA 98102",Seattle,WA,98102,47.621674,-122.321274,Apartment,0,1,380,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"3520-28th-Ave-W,-Apt-408,-Seattle,-WA-98199","3520 28th Ave W, Apt 408, Seattle, WA 98199",Seattle,WA,98199,47.652088,-122.392273,Apartment,2,2,1100,,Active,2495,Standard,2025-11-22T00:00:00.000Z,1
"316-E-Harrison-St,-Apt-103,-Seattle,-WA-98102","316 E Harrison St, Apt 103, Seattle, WA 98102",Seattle,WA,98102,47.622135,-122.326965,Apartment,1,1,750,,Active,1895,Standard,2025-11-22T00:00:00.000Z,1
"5231-22nd-Ave-NE,-Apt-2,-Seattle,-WA-98105","5231 22nd Ave NE, Apt 2, Seattle, WA 98105",Seattle,WA,98105,47.66732,-122.304771,Apartment,1,1,750,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"224-Harvard-Ave-E,-Apt-403,-Seattle,-WA-98102","224 Harvard Ave E, Apt 403, Seattle, WA 98102",Seattle,WA,98102,47.620705,-122.321869,Apartment,1,1,475,,Active,1695,Standard,2025-11-22T00:00:00.000Z,1
"531-Malden-Ave-E,-Apt-304,-Seattle,-WA-98112","531 Malden Ave E, Apt 304, Seattle, WA 98112",Seattle,WA,98112,47.624111,-122.313919,Apartment,0,1,440,,Active,1650,Standard,2025-11-22T00:00:00.000Z,1
"504-E-Denny-Way,-Apt-1,-Seattle,-WA-98122","504 E Denny Way, Apt 1, Seattle, WA 98122",Seattle,WA,98122,47.618664,-122.324905,Apartment,0,1,1150,,Active,2095,Standard,2025-11-22T00:00:00.000Z,1
"151-John-St,-Apt-5A,-Seattle,-WA-98109","151 John St, Apt 5A, Seattle, WA 98109",Seattle,WA,98109,47.619587,-122.35376,Apartment,1,1,658,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1
"605-10th-Ave-E,-Apt-8,-Seattle,-WA-98102","605 10th Ave E, Apt 8, Seattle, WA 98102",Seattle,WA,98102,47.624462,-122.320122,Apartment,0,1,400,,Active,1150,Standard,2025-11-22T00:00:00.000Z,1
"9100-Roosevelt-Way-NE,-Apt-302,-Seattle,-WA-98115","9100 Roosevelt Way NE, Apt 302, Seattle, WA 98115",Seattle,WA,98115,47.695164,-122.317307,Apartment,1,1,695,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1
"3652-Phinney-Ave-N,-Unit-1,-Seattle,-WA-98103","3652 Phinney Ave N, Unit 1, Seattle, WA 98103",Seattle,WA,98103,47.653782,-122.354134,Apartment,1,1,,,Active,1795,Standard,2025-11-22T00:00:00.000Z,1
"2603-E-Union-St,-Unit-B,-Seattle,-WA-98122","2603 E Union St, Unit B, Seattle, WA 98122",Seattle,WA,98122,47.612728,-122.298531,Apartment,2,1,850,,Active,2100,Standard,2025-11-22T00:00:00.000Z,1
"14019-32nd-Ave-NE,-Apt-47,-Seattle,-WA-98125","14019 32nd Ave NE, Apt 47, Seattle, WA 98125",Seattle,WA,98125,47.730721,-122.294769,Apartment,1,1,570,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"7001-Roosevelt-Mfte-Way-NE,-Unit-403,-Seattle,-WA-98115","7001 Roosevelt Mfte Way NE, Unit 403, Seattle, WA 98115",Seattle,WA,98115,47.679688,-122.317642,Apartment,1,1,392,,Active,1495,Standard,2025-11-22T00:00:00.000Z,1
"105-Nw-39th-St,-Unit-C,-Seattle,-WA-98107","105 Nw 39th St, Unit C, Seattle, WA 98107",Seattle,WA,98107,47.653996,-122.358002,Townhouse,3,2,1284,,Active,3950,Standard,2025-11-22T00:00:00.000Z,1
"7401-Linden-Ave-N,-Apt-3,-Seattle,-WA-98103","7401 Linden Ave N, Apt 3, Seattle, WA 98103",Seattle,WA,98103,47.682785,-122.346596,Apartment,0,1,250,,Active,1195,Standard,2025-11-22T00:00:00.000Z,1
"2410-E-Lynn-St,-Apt-208,-Seattle,-WA-98112","2410 E Lynn St, Apt 208, Seattle, WA 98112",Seattle,WA,98112,47.639751,-122.301552,Apartment,0,1,400,,Active,1395,Standard,2025-11-22T00:00:00.000Z,1
"1321-E-John-St,-Apt-406,-Seattle,-WA-98102","1321 E John St, Apt 406, Seattle, WA 98102",Seattle,WA,98102,47.619789,-122.31469,Apartment,1,1,499,,Active,1999,Standard,2025-11-22T00:00:00.000Z,1
"4238-Evanston-Ave-N-Unit-A,-Seattle,-WA-98103","4238 Evanston Ave N Unit A, Seattle, WA 98103",Seattle,WA,98103,47.658772,-122.350716,Apartment,0,1,420,,Active,1195,Standard,2025-11-22T00:00:00.000Z,1
"1305-E-Howell-St,-Apt-209,-Seattle,-WA-98122","1305 E Howell St, Apt 209, Seattle, WA 98122",Seattle,WA,98122,47.617416,-122.315208,Apartment,0,1,529,,Active,1495,Standard,2025-11-22T00:00:00.000Z,1
"403-Belmont-Ave-E,-Unit-402,-Seattle,-WA-98102","403 Belmont Ave E, Unit 402, Seattle, WA 98102",Seattle,WA,98102,47.622166,-122.324303,Apartment,1,1,676,,Active,2495,Standard,2025-11-22T00:00:00.000Z,1
"115-17th-Ave-Unit-B,-Seattle,-WA-98122","115 17th Ave Unit B, Seattle, WA 98122",Seattle,WA,98122,47.602179,-122.31078,Single Family,3,2.5,1562,2005,Active,3095,Standard,2025-11-22T00:00:00.000Z,1
"3150-Fairview-Ave-E,-Apt-501,-Seattle,-WA-98102","3150 Fairview Ave E, Apt 501, Seattle, WA 98102",Seattle,WA,98102,47.650066,-122.323387,Apartment,2,2,906,,Active,2999,Standard,2025-11-22T00:00:00.000Z,1
"2731-S-Judkins-St,-Seattle,-WA-98144","2731 S Judkins St, Seattle, WA 98144",Seattle,WA,98144,47.591856,-122.296235,Single Family,3,1,1200,,Active,2795,Standard,2025-11-22T00:00:00.000Z,1
"1305-E-Denny-Way,-Apt-302,-Seattle,-WA-98122","1305 E Denny Way, Apt 302, Seattle, WA 98122",Seattle,WA,98122,47.618626,-122.315224,Apartment,0,1,360,,Active,1295,Standard,2025-11-22T00:00:00.000Z,1
"206-Bell-St,-Apt-212,-Seattle,-WA-98121","206 Bell St, Apt 212, Seattle, WA 98121",Seattle,WA,98121,47.614376,-122.345627,Apartment,1,1,636,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1
"1470-Nw-70th-St,-Seattle,-WA-98117","1470 Nw 70th St, Seattle, WA 98117",Seattle,WA,98117,47.679659,-122.375939,Townhouse,3,2.5,1365,,Active,3145,Standard,2025-11-22T00:00:00.000Z,1
"9200-Greenwood-Ave-N,-Apt-201,-Seattle,-WA-98103","9200 Greenwood Ave N, Apt 201, Seattle, WA 98103",Seattle,WA,98103,47.696315,-122.354939,Single Family,1,1,659,,Active,1589,Standard,2025-11-22T00:00:00.000Z,1
"104-21st-Ave,-Apt-302,-Seattle,-WA-98122","104 21st Ave, Apt 302, Seattle, WA 98122",Seattle,WA,98122,47.601894,-122.304741,Apartment,1,1,650,,Active,1495,Standard,2025-11-22T00:00:00.000Z,1
"1727-14th-Ave,-Apt-3,-Seattle,-WA-98122","1727 14th Ave, Apt 3, Seattle, WA 98122",Seattle,WA,98122,47.61721,-122.314606,Apartment,1,1,584,,Active,1995,Standard,2025-11-22T00:00:00.000Z,1
"206-Bell-St,-Apt-310,-Seattle,-WA-98121","206 Bell St, Apt 310, Seattle, WA 98121",Seattle,WA,98121,47.614376,-122.345627,Apartment,0,1,462,,Active,1495,Standard,2025-11-22T00:00:00.000Z,1
"2430-Nw-59th-St,-Seattle,-WA-98107","2430 Nw 59th St, Seattle, WA 98107",Seattle,WA,98107,47.671875,-122.389106,Townhouse,2,1,1000,,Active,2650,Standard,2025-11-22T00:00:00.000Z,1
"121-Stewart-St,-Apt-1003,-Seattle,-WA-98101","121 Stewart St, Apt 1003, Seattle, WA 98101",Seattle,WA,98101,47.61064,-122.340526,Condo,1,1,768,,Active,2300,Standard,2025-11-22T00:00:00.000Z,1
"115-N-46th-St,-Seattle,-WA-98103","115 N 46th St, Seattle, WA 98103",Seattle,WA,98103,47.662098,-122.357046,Townhouse,4,2.5,2130,,Active,6500,Standard,2025-11-22T00:00:00.000Z,1
"206-Bell-St,-Apt-819,-Seattle,-WA-98121","206 Bell St, Apt 819, Seattle, WA 98121",Seattle,WA,98121,47.614376,-122.345627,Apartment,2,1,793,,Active,2795,Standard,2025-11-22T00:00:00.000Z,1
"2109-N-63rd-St,-Unit-3B,-Seattle,-WA-98103","2109 N 63rd St, Unit 3B, Seattle, WA 98103",Seattle,WA,98103,47.674297,-122.333115,Apartment,1,1,520,,Active,1675,Standard,2025-11-22T00:00:00.000Z,1
"7011-Roosevelt-Way-NE,-Apt-313,-Seattle,-WA-98115","7011 Roosevelt Way NE, Apt 313, Seattle, WA 98115",Seattle,WA,98115,47.679886,-122.317673,Apartment,0,1,393,,Active,1345,Standard,2025-11-22T00:00:00.000Z,1
"4017-5th-Ave-NE,-Unit-1E,-Seattle,-WA-98105","4017 5th Ave NE, Unit 1E, Seattle, WA 98105",Seattle,WA,98105,47.656113,-122.323837,Apartment,1,2,150,,Active,695,Standard,2025-11-22T00:00:00.000Z,1
"215-Queen-Anne-Ave-N,-Apt-510,-Seattle,-WA-98109","215 Queen Anne Ave N, Apt 510, Seattle, WA 98109",Seattle,WA,98109,47.620262,-122.357002,Apartment,1,1,548,,Active,1945,Standard,2025-11-22T00:00:00.000Z,1
"817-Ne-64th-St,-Unit-11,-Seattle,-WA-98115","817 Ne 64th St, Unit 11, Seattle, WA 98115",Seattle,WA,98115,47.674831,-122.31926,Apartment,0,1,225,,Active,995,Standard,2025-11-22T00:00:00.000Z,1
"3200-16th-Ave-W,-Apt-503,-Seattle,-WA-98119","3200 16th Ave W, Apt 503, Seattle, WA 98119",Seattle,WA,98119,47.648693,-122.376976,Apartment,1,1,653,,Active,1895,Standard,2025-11-22T00:00:00.000Z,1
